# File: A44.india_state_in_EJ_res_F_spaceheating_Y.csv
# Title: State-wise space heating energy demand in India
# Units: EJ/yr
# Comments: Residential space heating energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AR,resid urban,electricity,resid urban space heating,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.000001
AS,resid urban,electricity,resid urban space heating,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05
BR,resid urban,electricity,resid urban space heating,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04,1.84E-04
CG,resid urban,electricity,resid urban space heating,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05
CH,resid urban,electricity,resid urban space heating,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,6.68E-05,7.92E-05
DD,resid urban,electricity,resid urban space heating,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.000001
DL,resid urban,electricity,resid urban space heating,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.000001
DN,resid urban,electricity,resid urban space heating,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,0.000476202,5.67E-06
GA,resid urban,electricity,resid urban space heating,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.000001
GJ,resid urban,electricity,resid urban space heating,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.000001
HP,resid urban,electricity,resid urban space heating,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001,0.000914001
HR,resid urban,electricity,resid urban space heating,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606,0.000514606
JH,resid urban,electricity,resid urban space heating,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572,0.000130572
JK,resid urban,electricity,resid urban space heating,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699,0.001113699
