INPUT_TABLE,,,
Variable ID,,,
SubregionalIncShares,,,
,,,
region,gcam.consumer,inc.year.fillout,subregional.income.share
UK,comm,2080,1
UP,comm,2080,1
WB,comm,2080,1
AN,comm,2085,1
AP,comm,2085,1
AR,comm,2085,1
AS,comm,2085,1
BR,comm,2085,1
CG,comm,2085,1
CH,comm,2085,1
DD,comm,2085,1
DL,comm,2085,1
DN,comm,2085,1
GA,comm,2085,1
GJ,comm,2085,1
HP,comm,2085,1
HR,comm,2085,1
JH,comm,2085,1
JK,comm,2085,1
KA,comm,2085,1
KL,comm,2085,1
LA,comm,2085,1
LD,comm,2085,1
MH,comm,2085,1
ML,comm,2085,1
MN,comm,2085,1
MP,comm,2085,1
MZ,comm,2085,1
NL,comm,2085,1
OD,comm,2085,1
PB,comm,2085,1
PC,comm,2085,1
RJ,comm,2085,1
SK,comm,2085,1
TN,comm,2085,1
TR,comm,2085,1
TS,comm,2085,1
UK,comm,2085,1
UP,comm,2085,1
WB,comm,2085,1
AN,comm,2090,1
AP,comm,2090,1
AR,comm,2090,1
AS,comm,2090,1
BR,comm,2090,1
CG,comm,2090,1
CH,comm,2090,1
DD,comm,2090,1
DL,comm,2090,1
DN,comm,2090,1
GA,comm,2090,1
GJ,comm,2090,1
HP,comm,2090,1
HR,comm,2090,1
JH,comm,2090,1
JK,comm,2090,1
KA,comm,2090,1
KL,comm,2090,1
LA,comm,2090,1
LD,comm,2090,1
MH,comm,2090,1
ML,comm,2090,1
MN,comm,2090,1
MP,comm,2090,1
MZ,comm,2090,1
NL,comm,2090,1
OD,comm,2090,1
PB,comm,2090,1
PC,comm,2090,1
RJ,comm,2090,1
SK,comm,2090,1
TN,comm,2090,1
TR,comm,2090,1
TS,comm,2090,1
UK,comm,2090,1
UP,comm,2090,1
WB,comm,2090,1
AN,comm,2095,1
AP,comm,2095,1
AR,comm,2095,1
AS,comm,2095,1
BR,comm,2095,1
CG,comm,2095,1
CH,comm,2095,1
DD,comm,2095,1
DL,comm,2095,1
DN,comm,2095,1
GA,comm,2095,1
GJ,comm,2095,1
HP,comm,2095,1
HR,comm,2095,1
JH,comm,2095,1
JK,comm,2095,1
KA,comm,2095,1
KL,comm,2095,1
LA,comm,2095,1
LD,comm,2095,1
MH,comm,2095,1
ML,comm,2095,1
MN,comm,2095,1
MP,comm,2095,1
MZ,comm,2095,1
NL,comm,2095,1
OD,comm,2095,1
PB,comm,2095,1
PC,comm,2095,1
RJ,comm,2095,1
SK,comm,2095,1
TN,comm,2095,1
TR,comm,2095,1
TS,comm,2095,1
UK,comm,2095,1
UP,comm,2095,1
WB,comm,2095,1
AN,comm,2100,1
AP,comm,2100,1
AR,comm,2100,1
AS,comm,2100,1
BR,comm,2100,1
CG,comm,2100,1
CH,comm,2100,1
DD,comm,2100,1
DL,comm,2100,1
DN,comm,2100,1
GA,comm,2100,1
GJ,comm,2100,1
HP,comm,2100,1
HR,comm,2100,1
JH,comm,2100,1
JK,comm,2100,1
KA,comm,2100,1
KL,comm,2100,1
LA,comm,2100,1
LD,comm,2100,1
MH,comm,2100,1
ML,comm,2100,1
MN,comm,2100,1
MP,comm,2100,1
MZ,comm,2100,1
NL,comm,2100,1
OD,comm,2100,1
PB,comm,2100,1
PC,comm,2100,1
RJ,comm,2100,1
SK,comm,2100,1
TN,comm,2100,1
TR,comm,2100,1
TS,comm,2100,1
UK,comm,2100,1
UP,comm,2100,1
WB,comm,2100,1
AN,resid rural,1975,0.43
AP,resid rural,1975,0.36
AR,resid rural,1975,0.31
AS,resid rural,1975,0.32
BR,resid rural,1975,0.34
CG,resid rural,1975,0.24
CH,resid rural,1975,0.19
DD,resid rural,1975,0.26
DL,resid rural,1975,0.43
DN,resid rural,1975,0.27
GA,resid rural,1975,0.43
GJ,resid rural,1975,0.38
HP,resid rural,1975,0.34
HR,resid rural,1975,0.33
JH,resid rural,1975,0.36
JK,resid rural,1975,0.3
KA,resid rural,1975,0.52
KL,resid rural,1975,0.35
LA,resid rural,1975,0.25
LD,resid rural,1975,0.27
MH,resid rural,1975,0.44
ML,resid rural,1975,0.38
MN,resid rural,1975,0.29
MP,resid rural,1975,0.33
MZ,resid rural,1975,0.26
NL,resid rural,1975,0.26
OD,resid rural,1975,0.49
PB,resid rural,1975,0.36
PC,resid rural,1975,0.43
RJ,resid rural,1975,0.44
SK,resid rural,1975,0.43
TN,resid rural,1975,0.35754
TR,resid rural,1975,0.33
TS,resid rural,1975,0.43
UK,resid rural,1975,0.3
UP,resid rural,1975,0.35
WB,resid rural,1975,0.23
AN,resid rural,1990,0.43
AP,resid rural,1990,0.35754
AR,resid rural,1990,0.3148
AS,resid rural,1990,0.32352
BR,resid rural,1990,0.33634
CG,resid rural,1990,0.24
CH,resid rural,1990,0.19
DD,resid rural,1990,0.26
DL,resid rural,1990,0.43
DN,resid rural,1990,0.27
GA,resid rural,1990,0.43
GJ,resid rural,1990,0.38
HP,resid rural,1990,0.34
HR,resid rural,1990,0.33
JH,resid rural,1990,0.36
JK,resid rural,1990,0.3
KA,resid rural,1990,0.52
KL,resid rural,1990,0.35
LA,resid rural,1990,0.25
LD,resid rural,1990,0.27
MH,resid rural,1990,0.44
ML,resid rural,1990,0.38
MN,resid rural,1990,0.29
MP,resid rural,1990,0.33
MZ,resid rural,1990,0.26
NL,resid rural,1990,0.26
OD,resid rural,1990,0.49
PB,resid rural,1990,0.36
PC,resid rural,1990,0.43
RJ,resid rural,1990,0.44
SK,resid rural,1990,0.43
TN,resid rural,1990,0.35754
TR,resid rural,1990,0.33
TS,resid rural,1990,0.43
UK,resid rural,1990,0.3
UP,resid rural,1990,0.35
WB,resid rural,1990,0.23
AN,resid rural,2005,0.43
AP,resid rural,2005,0.35754
AR,resid rural,2005,0.3148
